YEAR,DOY,ALLSKY_SFC_UVA,ALLSKY_SFC_UV_INDEX,PRECTOTCORR,WS10M_MAX,WS10M_MIN,GWETTOP,GWETROOT,GWETPROF,PS,WS10M,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT
2015,59,12.77,2.28,2.41,2.18,0.61,0.85,0.86,0.83,79.46,1.33,89.98,135.84
2015,60,14.47,2.48,3.33,1.39,0.7,0.85,0.86,0.83,79.48,1.12,103.99,133.18
2015,61,13.68,2.3,3.82,1.5,0.85,0.85,0.86,0.83,79.43,1.2,97.45,133.51
2015,62,14.52,2.41,0.74,1.84,0.96,0.84,0.85,0.83,79.31,1.35,104.19,134.27
2015,63,14.4,2.48,0.2,1.82,0.84,0.84,0.84,0.82,79.32,1.28,102.93,134.34
2015,64,12.49,2.09,0.03,1.87,0.75,0.84,0.84,0.81,79.4,1.12,89.75,130.44
2015,65,10.01,1.64,0.31,2.34,0.77,0.84,0.84,0.8,79.37,1.41,70.05,128.81
2015,66,11.51,1.94,1.52,2.45,0.86,0.83,0.83,0.8,79.38,1.45,82.5,130.12
2015,67,16.46,2.73,0.36,2.78,1.09,0.83,0.82,0.8,79.26,1.73,119.31,136.46
2015,68,17.93,3.0,0.14,2.41,0.95,0.82,0.81,0.79,79.22,1.54,129.4,139.3
2015,69,17.26,2.91,0.36,2.53,0.8,0.81,0.8,0.78,79.29,1.44,125.23,137.76
2015,70,16.91,2.91,1.19,1.83,0.8,0.81,0.8,0.77,79.33,1.28,122.42,137.89
2015,71,14.29,2.53,2.07,1.79,0.09,0.81,0.8,0.77,79.38,1.17,101.07,137.13
2015,72,11.1,1.91,1.89,1.8,0.46,0.81,0.8,0.77,79.27,1.13,80.05,129.14
2015,73,8.84,1.49,2.0,1.66,0.08,0.81,0.8,0.77,79.31,0.9,64.83,120.88
2015,74,9.97,1.73,0.64,1.52,0.14,0.81,0.8,0.77,79.42,0.94,72.48,124.6
2015,75,10.99,1.94,0.36,1.65,0.49,0.8,0.79,0.77,79.43,0.97,77.45,131.97
2015,76,11.39,1.99,3.18,2.43,0.13,0.8,0.79,0.77,79.44,1.08,82.46,129.51
2015,77,9.69,1.8,19.71,2.01,0.94,0.84,0.8,0.77,79.44,1.38,65.99,137.15
2015,78,7.55,1.34,12.07,2.65,0.7,0.84,0.82,0.79,79.52,1.41,50.1,135.53
2015,79,10.85,1.84,15.82,1.75,0.52,0.85,0.83,0.8,79.56,1.05,77.7,130.88
2015,80,10.64,1.88,5.86,1.82,0.67,0.85,0.85,0.81,79.63,1.12,73.69,136.08
2015,81,13.13,2.37,0.47,1.98,0.33,0.84,0.84,0.81,79.6,1.16,90.99,141.3
2015,82,15.0,2.57,1.42,1.74,0.25,0.84,0.84,0.8,79.64,1.09,107.79,138.33
2015,83,14.0,2.39,2.01,1.71,0.8,0.84,0.84,0.8,79.65,1.26,100.72,135.91
2015,84,13.21,2.23,4.26,2.11,0.46,0.84,0.83,0.8,79.61,1.27,94.38,137.77
2015,85,13.61,2.28,2.72,1.34,0.15,0.84,0.83,0.8,79.56,0.84,101.07,130.52
2015,86,11.92,1.95,2.08,1.73,0.09,0.84,0.83,0.8,79.61,1.03,89.44,126.9
2015,87,9.98,1.7,8.41,1.16,0.3,0.84,0.84,0.8,79.69,0.77,73.65,124.84
2015,88,9.7,1.7,8.7,1.25,0.09,0.85,0.84,0.81,79.7,0.6,68.48,136.05
2015,89,13.3,2.33,7.41,1.52,0.07,0.85,0.84,0.81,79.6,0.82,94.52,138.82
2015,90,12.31,2.19,3.45,1.09,0.41,0.85,0.85,0.82,79.54,0.73,86.35,139.8
2015,91,13.45,2.34,0.73,1.55,0.41,0.84,0.84,0.81,79.51,0.86,95.36,137.54
2015,92,13.53,2.26,9.38,0.84,0.17,0.85,0.84,0.81,79.5,0.63,97.74,134.93
2015,93,7.17,1.19,12.85,1.45,0.16,0.87,0.87,0.83,79.41,0.71,51.24,125.28
2015,94,11.27,2.1,4.99,1.48,0.24,0.86,0.87,0.84,79.33,0.79,78.32,136.87
2015,95,11.29,1.98,3.8,1.84,0.57,0.86,0.87,0.84,79.29,1.15,78.93,135.03
2015,96,12.88,2.3,0.43,1.52,0.54,0.86,0.87,0.84,79.35,1.02,89.06,140.64
2015,97,12.41,2.15,7.7,2.27,0.55,0.86,0.87,0.84,79.35,1.11,87.94,136.75
2015,98,12.45,2.16,12.65,1.66,0.32,0.88,0.88,0.85,79.37,1.07,86.45,140.91
2015,99,14.34,2.6,1.09,1.91,0.66,0.86,0.88,0.84,79.38,1.24,102.6,137.9
2015,100,15.29,2.7,1.96,1.5,0.25,0.86,0.88,0.84,79.41,0.95,107.34,140.42
2015,101,9.59,1.72,4.71,1.46,0.8,0.87,0.88,0.84,79.49,1.19,66.8,137.77
2015,102,17.88,3.29,8.99,1.54,0.71,0.87,0.88,0.84,79.52,1.08,127.77,142.42
2015,103,12.59,2.27,4.63,1.67,0.69,0.87,0.88,0.85,79.6,0.99,84.17,145.26
2015,104,11.77,2.15,5.04,1.22,0.14,0.88,0.88,0.85,79.57,0.66,80.99,137.98
2015,105,13.48,2.52,8.27,1.33,0.26,0.88,0.89,0.85,79.53,0.73,91.16,143.23
2015,106,13.02,2.34,4.88,1.77,0.24,0.88,0.89,0.86,79.5,0.7,92.66,133.74
2015,107,11.51,2.03,1.71,1.34,0.2,0.88,0.89,0.86,79.54,0.72,78.22,138.07
2015,108,15.11,2.66,2.31,1.3,0.27,0.87,0.89,0.85,79.51,0.66,105.91,141.79
2015,109,11.07,1.84,0.81,1.39,0.06,0.87,0.88,0.85,79.46,0.8,76.34,138.99
2015,110,15.63,2.78,9.65,1.09,0.11,0.88,0.88,0.85,79.46,0.55,110.01,140.88
2015,111,13.5,2.32,8.6,1.54,0.19,0.88,0.9,0.87,79.48,0.91,94.45,140.03
2015,112,17.12,3.07,0.19,2.09,0.79,0.88,0.9,0.86,79.44,1.34,121.29,143.4
2015,113,17.47,3.01,0.15,1.97,0.86,0.87,0.89,0.85,79.45,1.33,123.94,143.43
2015,114,15.97,2.69,1.29,2.94,0.65,0.87,0.88,0.85,79.46,1.34,115.8,138.24
2015,115,10.79,1.78,5.35,2.36,0.73,0.87,0.88,0.85,79.5,1.34,76.31,135.47
2015,116,17.27,2.91,0.67,2.31,0.66,0.87,0.88,0.85,79.46,1.35,123.74,136.34
2015,117,19.91,3.44,0.62,1.85,0.74,0.86,0.88,0.84,79.39,1.35,139.5,144.81
2015,118,16.77,2.91,0.68,1.66,0.67,0.86,0.87,0.84,79.35,1.15,112.8,144.61
2015,119,16.2,2.72,4.29,2.23,0.48,0.86,0.87,0.84,79.39,1.17,112.55,139.27
2015,120,13.27,2.23,9.4,1.65,0.27,0.88,0.88,0.84,79.45,0.91,88.07,140.15
2015,121,13.56,2.2,2.66,1.63,0.62,0.87,0.88,0.84,79.53,1.05,95.47,138.46
2015,122,16.11,2.7,1.32,1.67,0.87,0.86,0.88,0.84,79.42,1.27,114.02,141.19
2015,123,14.78,2.49,9.8,1.42,0.09,0.87,0.88,0.84,79.4,0.82,102.82,141.29
2015,124,13.74,2.23,4.05,1.31,0.4,0.87,0.88,0.84,79.5,0.8,96.38,133.4
2015,125,16.83,2.73,0.63,2.24,0.26,0.86,0.88,0.84,79.54,1.05,119.69,136.64
2015,126,14.46,2.38,1.56,1.99,0.39,0.86,0.87,0.84,79.57,1.21,98.18,137.44
2015,127,18.63,3.22,0.13,1.93,0.3,0.85,0.86,0.84,79.47,1.18,131.16,140.13
2015,128,17.16,2.91,0.06,2.52,0.62,0.85,0.86,0.83,79.48,1.33,120.3,138.47
2015,129,16.15,2.83,0.26,2.39,0.35,0.84,0.85,0.82,79.45,1.25,113.03,135.84
2015,130,16.91,2.91,1.45,2.0,0.89,0.84,0.85,0.82,79.44,1.33,118.79,137.48
2015,131,15.43,2.61,0.13,2.18,1.01,0.84,0.84,0.81,79.46,1.52,103.37,140.8
2015,132,18.48,3.11,1.14,2.3,1.09,0.84,0.84,0.8,79.45,1.55,130.35,141.16
2015,133,15.32,2.54,3.73,1.95,0.67,0.84,0.84,0.8,79.43,1.16,105.59,136.47
2015,134,16.25,2.76,3.58,1.9,0.47,0.84,0.83,0.8,79.47,1.09,111.48,139.28
2015,135,15.23,2.58,6.28,1.8,0.48,0.84,0.84,0.8,79.52,0.98,101.23,141.48
2015,136,16.25,2.68,5.12,1.45,0.21,0.84,0.84,0.8,79.53,0.91,111.87,139.2
2015,137,13.16,2.18,7.12,2.19,0.43,0.84,0.84,0.81,79.63,1.19,87.33,138.29
2015,138,15.42,2.62,4.31,2.66,0.8,0.84,0.84,0.81,79.61,1.48,103.56,139.88
2015,139,14.47,2.46,1.69,2.09,0.53,0.84,0.84,0.8,79.59,1.21,94.4,140.79
2015,140,15.82,2.68,6.18,2.05,0.62,0.84,0.84,0.8,79.53,1.17,109.22,137.85
2015,141,14.87,2.62,10.4,1.88,0.55,0.85,0.84,0.81,79.56,1.05,99.32,141.34
2015,142,15.62,2.54,2.34,1.41,0.62,0.84,0.84,0.81,79.63,1.06,107.67,139.15
2015,143,18.38,3.13,1.14,1.74,0.78,0.84,0.84,0.81,79.64,1.23,127.22,142.45
2015,144,17.52,2.84,11.36,1.48,0.44,0.85,0.84,0.81,79.54,0.95,123.52,138.98
2015,145,13.12,2.2,11.89,1.33,0.14,0.87,0.86,0.83,79.55,0.79,87.63,136.48
2015,146,16.9,2.85,1.37,1.17,0.34,0.85,0.86,0.83,79.54,0.83,115.8,139.38
2015,147,13.05,2.15,5.85,1.81,0.63,0.86,0.86,0.83,79.45,1.08,87.04,135.54
2015,148,11.77,1.92,19.51,2.95,0.84,0.88,0.87,0.84,79.47,1.54,78.2,130.98
2015,149,14.38,2.37,12.79,1.1,0.05,0.88,0.89,0.85,79.45,0.75,96.08,135.77
2015,150,14.22,2.29,11.41,0.97,0.11,0.89,0.9,0.87,79.43,0.58,97.6,131.7
2015,151,17.95,2.9,7.95,1.3,0.59,0.89,0.91,0.88,79.48,0.87,123.85,138.94
2015,152,14.77,2.38,1.63,1.47,0.53,0.88,0.91,0.88,79.53,1.13,100.78,134.45
2015,153,17.36,2.77,4.65,1.61,0.68,0.88,0.9,0.87,79.49,1.16,118.84,138.95
2015,154,16.47,2.7,4.5,2.05,0.42,0.88,0.9,0.87,79.47,1.1,112.34,137.37
2015,155,15.02,2.51,3.21,1.54,0.32,0.88,0.89,0.86,79.54,0.95,99.04,137.78
2015,156,13.8,2.24,2.0,1.35,0.48,0.88,0.89,0.86,79.57,0.96,87.42,135.92
2015,157,17.61,2.86,1.58,1.45,0.27,0.87,0.88,0.86,79.54,0.94,118.51,138.65
2015,158,14.66,2.44,3.0,1.66,0.21,0.87,0.88,0.85,79.57,1.0,96.95,132.86
2015,159,14.55,2.35,9.2,1.32,0.34,0.88,0.88,0.85,79.58,0.95,92.28,136.07
2015,160,14.46,2.28,9.63,0.84,0.06,0.88,0.89,0.86,79.52,0.56,91.21,135.66
2015,161,15.26,2.46,5.02,1.45,0.5,0.88,0.9,0.87,79.53,0.87,97.06,138.27
2015,162,16.8,2.68,0.46,1.8,0.65,0.88,0.89,0.86,79.55,1.05,112.01,136.51
2015,163,18.39,2.99,2.21,1.78,0.75,0.87,0.89,0.86,79.57,1.16,124.68,138.7
2015,164,15.27,2.55,1.14,1.84,0.5,0.87,0.88,0.85,79.52,1.05,98.84,138.17
2015,165,15.81,2.56,1.83,2.12,0.42,0.87,0.88,0.85,79.47,1.07,106.52,135.71
2015,166,16.21,2.68,4.84,1.76,0.12,0.87,0.88,0.84,79.48,1.03,108.61,136.66
2015,167,18.92,3.02,1.96,2.31,0.45,0.86,0.88,0.84,79.5,1.29,129.95,139.34
2015,168,14.92,2.34,0.46,1.98,0.83,0.86,0.87,0.84,79.47,1.32,98.13,134.45
2015,169,16.5,2.55,0.08,2.63,0.93,0.85,0.86,0.83,79.43,1.52,112.83,134.63
2015,170,18.91,3.03,0.04,2.37,0.9,0.84,0.85,0.82,79.45,1.46,130.82,138.49
2015,171,15.85,2.6,0.02,2.12,0.72,0.84,0.84,0.82,79.52,1.24,106.46,135.02
2015,172,16.41,2.68,2.73,2.28,0.66,0.84,0.84,0.81,79.56,1.23,107.2,133.86
2015,173,16.74,2.84,0.95,2.55,0.63,0.84,0.84,0.81,79.56,1.39,108.81,135.08
2015,174,18.97,3.18,0.0,2.58,0.84,0.83,0.83,0.8,79.56,1.6,127.02,139.0
2015,175,19.77,3.3,0.0,3.19,0.98,0.83,0.82,0.8,79.55,1.84,135.14,138.52
2015,176,19.09,3.13,0.05,2.73,1.05,0.82,0.81,0.79,79.54,1.7,127.08,139.45
2015,177,18.3,3.01,1.15,2.63,1.08,0.81,0.8,0.78,79.54,1.68,122.77,137.29
2015,178,17.74,2.76,1.46,2.76,0.93,0.81,0.8,0.77,79.57,1.62,112.89,139.08
2015,179,17.43,2.74,0.26,2.55,0.88,0.8,0.8,0.77,79.54,1.49,114.53,135.93
2015,180,13.87,2.08,0.16,2.14,1.03,0.8,0.79,0.77,79.55,1.41,96.25,131.34
2015,181,16.42,2.55,0.01,1.86,0.73,0.8,0.78,0.76,79.54,1.24,116.45,133.45
2015,182,18.16,2.86,0.0,2.05,1.16,0.79,0.77,0.75,79.54,1.58,127.95,138.84
2015,183,17.62,2.74,0.0,1.87,0.68,0.78,0.77,0.74,79.47,1.3,123.1,137.89
2015,184,16.92,2.61,1.75,2.12,0.97,0.78,0.76,0.73,79.36,1.48,119.23,136.83
2015,185,15.12,2.38,0.6,2.23,1.0,0.77,0.76,0.73,79.39,1.38,104.02,134.61
2015,186,13.61,2.09,1.63,1.63,0.38,0.77,0.75,0.73,79.49,0.89,93.98,131.45
2015,187,13.48,2.12,3.25,1.65,0.05,0.77,0.75,0.73,79.48,0.72,90.11,134.55
2015,188,12.16,1.88,10.33,2.02,0.4,0.79,0.75,0.73,79.53,1.05,80.45,133.29
2015,189,17.3,2.7,3.43,1.73,0.66,0.79,0.77,0.73,79.53,1.12,120.98,136.87
2015,190,16.42,2.56,1.16,1.28,0.66,0.78,0.76,0.73,79.47,0.99,113.95,137.13
2015,191,16.0,2.57,2.65,2.12,0.5,0.78,0.76,0.73,79.49,1.11,109.62,135.98
2015,192,15.34,2.34,2.73,2.2,0.58,0.77,0.76,0.73,79.56,1.28,105.32,134.95
2015,193,15.5,2.39,1.68,2.2,0.81,0.77,0.75,0.73,79.6,1.33,106.16,135.71
2015,194,15.57,2.32,0.47,2.12,0.29,0.77,0.74,0.73,79.56,0.99,109.77,134.13
2015,195,14.73,2.23,9.85,1.24,0.2,0.77,0.74,0.72,79.55,0.85,101.75,135.24
2015,196,12.29,1.84,24.35,2.75,0.16,0.83,0.78,0.75,79.57,1.37,84.47,135.1
2015,197,15.69,2.45,1.14,1.53,0.66,0.8,0.78,0.76,79.57,1.02,110.48,134.8
2015,198,16.83,2.73,7.19,1.69,0.59,0.8,0.78,0.75,79.6,1.02,116.77,139.31
2015,199,13.23,2.07,6.06,1.23,0.41,0.8,0.78,0.76,79.6,0.8,90.45,134.82
2015,200,14.27,2.17,11.94,1.29,0.18,0.81,0.79,0.77,79.62,0.84,101.57,131.89
2015,201,13.46,2.06,24.85,1.66,0.19,0.84,0.8,0.77,79.6,0.91,92.29,136.09
2015,202,15.09,2.41,5.44,0.93,0.27,0.84,0.83,0.8,79.55,0.68,105.12,134.98
2015,203,15.79,2.49,4.98,2.09,0.34,0.84,0.83,0.8,79.6,1.04,111.49,136.39
2015,204,13.83,2.16,1.64,1.87,0.68,0.83,0.82,0.8,79.66,1.24,95.16,132.81
2015,205,18.89,2.91,0.48,2.7,1.0,0.82,0.81,0.79,79.62,1.66,132.38,141.41
2015,206,19.02,2.87,0.0,1.89,0.69,0.81,0.8,0.78,79.51,1.34,134.52,140.44
2015,207,16.41,2.6,0.34,2.34,0.77,0.8,0.8,0.77,79.46,1.34,115.07,136.56
2015,208,16.41,2.66,0.94,1.99,0.53,0.8,0.79,0.77,79.45,1.19,115.21,135.8
2015,209,17.16,2.61,4.35,2.23,0.64,0.8,0.78,0.76,79.43,1.21,122.01,135.84
2015,210,17.07,2.61,9.73,2.09,0.48,0.81,0.79,0.76,79.52,1.1,120.34,137.34
2015,211,14.15,2.14,1.03,1.8,0.64,0.8,0.79,0.77,79.56,1.06,95.82,136.43
2015,212,16.19,2.42,1.11,1.95,0.55,0.8,0.78,0.76,79.54,1.18,113.45,135.96
2015,213,17.48,2.7,0.33,1.77,0.66,0.79,0.77,0.75,79.47,1.16,122.02,137.7
2015,214,15.66,2.42,0.23,2.08,0.75,0.79,0.77,0.75,79.4,1.32,106.88,136.87
2015,215,18.57,2.9,0.02,2.51,0.77,0.78,0.77,0.74,79.38,1.42,129.68,139.71
2015,216,18.28,2.8,0.54,2.53,0.77,0.77,0.76,0.73,79.45,1.42,126.9,140.09
2015,217,18.98,2.9,0.12,2.21,0.54,0.77,0.75,0.73,79.49,1.34,132.27,141.29
2015,218,17.65,2.69,0.62,1.77,0.23,0.76,0.74,0.72,79.43,1.18,122.96,139.05
2015,219,15.14,2.33,1.84,1.4,0.11,0.76,0.73,0.72,79.4,0.84,101.23,138.38
2015,220,12.76,1.92,17.64,1.2,0.05,0.79,0.74,0.72,79.47,0.78,83.12,135.66
2015,221,11.41,1.73,3.42,2.05,0.47,0.78,0.76,0.73,79.57,1.13,72.9,137.12
2015,222,14.59,2.24,2.27,1.95,0.7,0.77,0.76,0.73,79.47,1.2,97.03,136.59
2015,223,17.91,2.75,2.43,2.07,0.59,0.77,0.75,0.73,79.52,1.22,121.7,141.89
2015,224,15.92,2.46,0.4,2.43,0.67,0.77,0.75,0.73,79.52,1.41,104.94,142.39
2015,225,15.21,2.3,7.4,1.37,0.12,0.77,0.74,0.72,79.51,0.72,101.39,138.2
2015,226,13.66,2.24,6.89,2.61,0.43,0.77,0.75,0.73,79.51,1.13,90.05,136.88
2015,227,15.46,2.48,1.69,1.05,0.27,0.77,0.75,0.73,79.5,0.72,104.38,137.3
2015,228,13.86,2.16,1.25,1.46,0.54,0.76,0.74,0.73,79.5,1.02,93.85,139.41
2015,229,16.95,2.61,6.5,2.28,0.64,0.77,0.74,0.72,79.54,1.16,118.84,140.88
2015,230,17.7,2.7,1.76,1.37,0.24,0.77,0.75,0.73,79.58,0.95,124.88,141.34
2015,231,18.17,2.84,5.59,1.83,0.77,0.77,0.74,0.72,79.52,1.24,128.66,140.34
2015,232,18.23,2.88,12.59,1.8,0.36,0.78,0.75,0.73,79.48,1.02,129.12,141.02
2015,233,16.46,2.55,14.48,2.02,0.08,0.8,0.77,0.74,79.48,0.88,114.84,140.63
2015,234,14.31,2.16,7.99,1.57,0.41,0.8,0.77,0.75,79.47,0.99,100.95,134.91
2015,235,15.4,2.41,4.81,1.36,0.18,0.8,0.77,0.75,79.4,0.88,108.02,138.47
2015,236,14.88,2.33,8.26,1.57,0.05,0.8,0.77,0.75,79.44,0.83,103.86,136.52
2015,237,15.53,2.42,15.07,1.66,0.78,0.81,0.79,0.76,79.48,1.2,107.37,140.98
2015,238,15.48,2.44,4.81,2.01,0.54,0.81,0.8,0.77,79.53,1.21,108.04,138.7
2015,239,15.09,2.36,9.02,1.37,0.73,0.81,0.8,0.77,79.52,0.98,106.38,137.3
2015,240,17.87,2.77,2.97,2.05,0.53,0.81,0.8,0.77,79.51,1.05,127.36,139.41
2015,241,19.43,3.0,1.6,1.63,0.62,0.8,0.79,0.77,79.51,1.13,138.27,143.27
2015,242,15.45,2.35,4.42,2.41,0.45,0.8,0.79,0.77,79.54,1.21,107.81,140.84
2015,243,17.39,2.64,0.98,2.33,0.55,0.8,0.78,0.76,79.61,1.38,122.81,141.14
2015,244,15.07,2.27,1.07,2.25,0.39,0.79,0.77,0.75,79.62,1.14,109.84,136.13
2015,245,16.3,2.59,1.74,1.69,0.45,0.78,0.77,0.75,79.61,1.03,118.17,137.6
2015,246,16.73,2.56,1.4,1.33,0.49,0.78,0.77,0.74,79.55,1.0,120.26,139.74
2015,247,17.41,2.68,1.16,1.84,0.58,0.77,0.76,0.73,79.52,1.1,124.66,141.91
2015,248,15.88,2.36,10.3,1.46,0.2,0.78,0.76,0.73,79.5,0.91,113.02,140.37
2015,249,13.75,2.09,5.01,2.44,0.25,0.79,0.77,0.74,79.52,1.05,95.38,141.3
2015,250,14.2,2.2,2.46,1.53,0.69,0.77,0.77,0.74,79.5,1.09,100.69,139.34
2015,251,16.17,2.5,0.35,1.24,0.36,0.77,0.76,0.73,79.43,0.83,112.76,144.79
2015,252,15.7,2.41,8.03,1.44,0.26,0.78,0.76,0.73,79.39,0.68,109.82,142.49
2015,253,13.4,2.05,11.01,1.81,0.18,0.8,0.77,0.74,79.46,1.01,91.1,144.52
2015,254,11.05,1.72,3.78,1.02,0.42,0.8,0.77,0.75,79.57,0.74,75.6,137.66
2015,255,18.84,2.88,0.2,2.12,0.59,0.78,0.77,0.75,79.57,1.3,136.34,141.27
2015,256,19.09,2.87,0.0,2.16,0.65,0.77,0.77,0.74,79.58,1.36,137.47,143.01
2015,257,16.19,2.41,0.04,1.84,0.74,0.77,0.76,0.73,79.54,1.41,115.64,142.51
2015,258,16.46,2.48,0.35,1.6,0.21,0.76,0.75,0.73,79.58,1.02,118.11,139.97
